cur_zone_number,success_ratio_within_window,success_count_within_window,success,stepN,episodeN,episodeNInZone,episodeInWindow,ease_count,total_streched_ctr,restart_game_count,total_reward,total_step_count_for_experiment,goal,distance_traveled,energy_consumed,flight_time,time_stamp,weight_file_under_test
0,0.015,15,False,123,70,70,70,0,0,2,-242.50840259688223,24565,"[-10.25, 8.0, 0]",47.572654724121094,0.0,35.7967643737793,1653448345527036928,
0,0.016,16,True,262,71,71,71,0,0,2,749.5640161059462,24827,"[-9.25, -9.75, 0]",78.26171112060547,0.0,71.10151672363281,1653448417947021056,
0,0.017,17,True,106,72,72,72,0,0,2,907.6093545261818,24933,"[8.0, -7.75, 0]",37.10452651977539,0.0,32.481693267822266,1653448451865615872,
0,0.017,17,False,220,73,73,73,0,0,2,-344.3645939489558,25153,"[11.0, 9.5, 0]",73.07345581054688,0.0,60.96430206298828,1653448514253288192,
0,0.017,17,False,99,74,74,74,0,0,2,-219.68831094459455,25252,"[8.5, 11.0, 0]",45.30767822265625,0.0,30.270645141601562,1653448545912298240,
0,0.017,17,False,109,75,75,75,0,0,2,-217.45829999682024,25361,"[10.0, -9.75, 0]",41.676387786865234,0.0,33.81972122192383,1653448581089420800,
0,0.018,18,True,45,76,76,76,0,0,2,967.1482732796754,25406,"[11.0, 10.0, 0]",25.97412109375,0.0,17.529373168945312,1653448599967534336,
0,0.018,18,False,326,77,77,77,0,0,2,-445.6060384480056,25732,"[8.5, -11.25, 0]",100.48040008544922,0.0,89.49790954589844,1653448690863812096,
0,0.018,18,False,178,78,78,78,0,0,2,-287.3592203294593,25910,"[-10.75, -9.75, 0]",55.48894500732422,0.0,51.90110778808594,1653448744254548224,
0,0.018,18,False,194,79,79,79,0,0,2,-300.93550311834514,26104,"[-9.75, 9.5, 0]",81.25171661376953,0.0,57.74223327636719,1653448803392451584,
0,0.018,18,False,266,80,80,80,0,0,2,-369.7350785530006,26370,"[8.0, 10.5, 0]",104.86698150634766,0.0,79.26469421386719,1653448884112373504,
0,0.018,18,False,143,81,81,81,0,0,2,-265.94932982988564,26513,"[9.0, 8.5, 0]",57.255348205566406,0.0,45.28596496582031,1653448930914007808,
0,0.018,18,False,135,82,82,82,0,0,2,-241.93559685700066,26648,"[7.5, -8.25, 0]",38.818668365478516,0.0,41.37388229370117,1653448973645666560,
0,0.018,18,False,656,83,83,83,0,0,2,-776.2340482297843,27304,"[8.0, 9.0, 0]",205.7323455810547,0.0,190.32406616210938,1653449165389365504,
0,0.018,18,False,291,84,84,84,0,0,2,-424.81713471260036,27595,"[-7.25, -11.25, 0]",83.39069366455078,0.0,87.9468765258789,1653449255003256576,
0,0.019,19,True,48,85,85,85,0,0,2,964.0007678115801,27643,"[7.0, -8.25, 0]",25.158702850341797,0.0,19.968425750732422,1653449276446941696,
